機種,台番,差枚,G数,出率,BB,RB,合成
ジャグラーガールズSS,2165,"-1,270","5,317",92%,-,-,-
スマスロ頭文字D 2nd,2016,"-1,270","2,220",80.9%,-,-,-
パチスロ戦国恋姫,3107,"-1,280","1,055",59.6%,-,-,-
SHAKE BONUS TRIGGER,2339,"-1,330","4,092",89.2%,-,-,-
Lパチスロ かぐや様は告らせたい,3167,"-1,330","3,373",86.9%,-,-,-
スマスロ ギルティクラウン2,3051,"-1,340","1,776",74.8%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3081,"-1,350","5,574",91.9%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2315,"-1,350","2,448",81.6%,6,8,1/175
スマスロモンキーターンV,2036,"-1,360","2,140",78.8%,-,-,-
L東京喰種,3119,"-1,360","5,254",91.4%,-,-,-
ジャグラーガールズSS,2167,"-1,380","3,168",85.5%,-,-,-
スマスロ新鬼武者3,3127,"-1,390","5,858",92.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3181,"-1,390","6,277",92.6%,-,-,-
スマスロ モンスターハンターライズ,2060,"-1,400","1,250",62.7%,-,-,-
マイジャグラーV,2146,"-1,410","3,268",85.6%,7,9,1/204
マイジャグラーV,2169,"-1,420","4,798",90.1%,15,9,1/200
Lスマスロ北斗の拳,2101,"-1,420","3,377",86%,20,8,1/121
Lスマスロ北斗の拳,2086,"-1,430","2,383",80%,13,3,1/149
スマスロ ゴッドイーター リザレクション,3124,"-1,450","2,604",81.4%,-,-,-
L麻雀物語,2056,"-1,450","1,547",68.8%,-,-,-
マイジャグラーV,2150,"-1,470","2,799",82.5%,7,3,1/280
Lパチスロ かぐや様は告らせたい,3169,"-1,480","2,439",79.8%,-,-,-
パチスロ　甲鉄城のカバネリ,3109,"-1,500","3,422",85.4%,-,-,-
スマスロ スーパーブラックジャック,3140,"-1,510","2,480",79.7%,-,-,-
スマスロモンキーターンV,2040,"-1,520","4,192",87.9%,-,-,-
Lパチスロ かぐや様は告らせたい,3171,"-1,520","1,326",61.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3184,"-1,530","4,548",88.8%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2318,"-1,530","6,821",92.5%,22,20,1/162
Lパチスロ かぐや様は告らせたい,3172,"-1,530","2,818",81.9%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2336,"-1,530","2,851",82.1%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2319,"-1,560","2,770",81.2%,7,6,1/213
この素晴らしい世界に祝福を！,3090,"-1,570","4,795",89.1%,-,-,-
Lパチスロ炎炎ノ消防隊,2011,"-1,570","2,756",81%,-,-,-
吉宗,2063,"-1,580","1,677",68.6%,-,-,-
Lパチスロ かぐや様は告らせたい,3163,"-1,590","2,163",75.5%,-,-,-
スマスロ聖戦士ダンバイン,2007,"-1,620","1,453",62.8%,-,-,-
チバリヨ2,2190,"-1,650","1,547",64.4%,-,-,-
Lスマスロ北斗の拳,2102,"-1,660","7,749",92.9%,53,21,1/105
Lパチスロからくりサーカス,3155,"-1,670","2,236",75.1%,-,-,-
L東京喰種,3113,"-1,690","4,406",87.2%,-,-,-
Lソードアート・オンライン,2018,"-1,700","5,017",88.7%,-,-,-
L ToLOVEるダークネス,3067,"-1,700","2,873",80.3%,-,-,-
