機種,台番,差枚,G数,出率,BB,RB,合成
パチスロ　バイオハザード　ＲＥ：２,452,"-1,198","1,128",64.6%,-,-,-
回胴黙示録カイジ 狂宴,437,"-1,219","1,242",67.3%,-,-,-
L東京喰種,288,"-1,303","1,313",66.9%,-,-,-
スマスロ モンスターハンターライズ,347,"-1,313","1,160",62.3%,-,-,-
沖ドキ!ゴージャス 25Φ,461,"-1,313","4,333",89.9%,-,-,-
Lパチスロ かぐや様は告らせたい,315,"-1,365",985,53.8%,-,-,-
マイジャグラーV,362,"-1,386","3,710",87.5%,7,14,1/177
ゴーゴージャグラー３,412,"-1,417","2,228",78.8%,3,6,1/248
マイジャグラーV,333,"-1,417","2,806",83.2%,6,6,1/234
L ToLOVEるダークネス TRANCE ver.8.7,433,"-1,528","1,210",57.9%,-,-,-
Lパチスロ かぐや様は告らせたい,314,"-1,542","3,565",85.6%,-,-,-
スマスロモンキーターンV,277,"-1,667","2,603",78.7%,-,-,-
パチスロ　甲鉄城のカバネリ,449,"-1,667","2,316",76%,-,-,-
Lダーリン・イン・ザ・フランキス,392,"-1,680","1,339",58.2%,-,-,-
Lダーリン・イン・ザ・フランキス,393,"-1,722","1,446",60.3%,-,-,-
マイジャグラーV,339,"-1,819","2,878",78.9%,6,5,1/262
Lスマスロ北斗の拳,326,"-1,861","4,391",85.9%,25,8,1/133
いざ！番長,399,"-1,958","2,141",69.5%,-,-,-
スマスロ新鬼武者3,360,"-1,972","5,629",88.3%,-,-,-
いざ！番長,400,"-2,000","1,639",59.3%,-,-,-
スマスロ ゴッドイーター リザレクション,285,"-2,021","4,480",85%,-,-,-
スマスロ 東京リベンジャーズ,343,"-2,229","4,590",83.8%,-,-,-
L東京喰種,294,"-2,458","3,226",74.6%,-,-,-
スマスロ新鬼武者3,361,"-2,500","7,678",89.1%,-,-,-
沖ドキ！ＧＯＬＤ,463,"-2,562","2,845",70%,-,-,-
L主役は銭形5,395,"-2,646","5,461",83.8%,-,-,-
沖ドキ!ゴージャス 25Φ,460,"-2,708","5,893",84.7%,-,-,-
Lアズールレーン THE ANIMATION,308,"-2,917","5,204",81.3%,-,-,-
L東京喰種,293,"-2,958","4,287",77%,-,-,-
L主役は銭形5,394,"-3,313","7,491",85.3%,-,-,-
スマスロ新鬼武者3,358,"-3,438","6,478",82.3%,-,-,-
L東京喰種,287,"-3,469","3,678",68.6%,-,-,-
L東京喰種,286,"-3,938","3,528",62.8%,-,-,-
L東京喰種,290,"-5,834","8,710",77.7%,-,-,-
