機種,台番,差枚,G数,出率,BB,RB,合成
SアイムジャグラーＥＸ,1095,0,"2,844",100%,11,4,1/190
Lうしおととら 白面決戦,845,0,0,-,-,-,-
吉宗,861,0,"8,332",100%,-,-,-
スマスロ バイオハザード5,827,0,0,-,-,-,-
ミスタージャグラー,1086,0,"4,336",100%,-,-,-
キングハナハナ-30,1443,0,"7,814",100%,-,-,-
ファンキージャグラー２ＫＴ,1150,0,"4,615",100%,18,10,1/165
マイジャグラーV,1029,0,"3,838",100%,16,6,1/174
ファンキージャグラー２ＫＴ,1171,0,"2,005",100%,8,4,1/167
スマスロ バイオハザード5,817,0,533,100%,-,-,-
新ハナビ,1384,0,"7,305",100%,-,-,-
パチスロ　甲鉄城のカバネリ,1427,0,0,-,-,-,-
スマスロ バイオハザード5,819,0,0,-,-,-,-
スマスロ バイオハザード5,822,0,0,-,-,-,-
マイジャグラーV,1038,0,"3,675",100%,15,6,1/175
スマスロ バイオハザード5,826,0,"1,824",100%,-,-,-
マイジャグラーV,1004,0,"2,645",100%,11,5,1/165
ファンキージャグラー２ＫＴ,748,-91,"4,733",99.4%,19,12,1/153
Lパチスロからくりサーカス,158,-91,71,-,-,-,-
Lパチスロからくりサーカス,97,-91,96,-,-,-,-
SアイムジャグラーＥＸ,1081,-91,"2,665",98.9%,8,11,1/140
マイジャグラーV,1047,-91,"1,465",97.9%,5,2,1/209
Lパチスロ ありふれた職業で世界最強,1353,-92,217,85.9%,-,-,-
花笠,1396,-92,241,87.3%,-,-,-
Lパチスロからくりサーカス,146,-92,65,-,-,-,-
花笠,1399,-92,517,94.1%,-,-,-
マイジャグラーV,628,-93,"4,269",99.3%,14,15,1/147
Lパチスロからくりサーカス,117,-93,64,-,-,-,-
ファンキージャグラー２ＫＴ,754,-93,"1,407",97.8%,4,4,1/176
Lパチスロからくりサーカス,104,-94,88,-,-,-,-
Lパチスロからくりサーカス,148,-95,90,-,-,-,-
SアイムジャグラーＥＸ,1073,-95,"2,054",98.5%,9,2,1/187
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,1336,-95,364,91.3%,-,-,-
Lパチスロからくりサーカス,107,-95,86,-,-,-,-
Lパチスロからくりサーカス,111,-96,90,-,-,-,-
Lパチスロからくりサーカス,153,-96,86,-,-,-,-
Lパチスロからくりサーカス,108,-97,63,-,-,-,-
Lパチスロからくりサーカス,106,-97,"2,662",98.8%,-,-,-
スマスロ モンスターハンターライズ,679,-97,506,93.6%,-,-,-
Lパチスロからくりサーカス,114,-97,102,68.3%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,706,-97,68,-,-,-,-
Lパチスロからくりサーカス,157,-97,95,-,-,-,-
ファンキージャグラー２ＫＴ,1165,-97,"4,520",99.3%,15,15,1/151
スマスロ バイオハザード5,823,-98,770,95.8%,-,-,-
マイジャグラーV,1019,-98,"3,362",99%,12,8,1/168
Lパチスロからくりサーカス,102,-98,63,-,-,-,-
マイジャグラーV,735,-99,"6,354",99.5%,23,20,1/148
ゴーゴージャグラー３,1057,-102,"6,499",99.5%,19,30,1/133
ミスタージャグラー,1088,-105,"3,009",98.8%,-,-,-
マイジャグラーV,621,-191,"4,113",98.5%,18,6,1/171
スマスロ モンスターハンターライズ,663,-192,511,87.5%,-,-,-
ゴーゴージャグラー３,1108,-192,765,91.6%,3,0,1/255
マイジャグラーV,622,-192,"5,834",98.9%,23,13,1/162
スマスロ スーパーブラックジャック,831,-192,"1,692",96.2%,-,-,-
Lスーパービンゴネオ,9,-193,144,55.3%,-,-,-
この素晴らしい世界に祝福を！,1420,-194,"1,175",94.5%,-,-,-
Lうしおととら 白面決戦,846,-195,151,57%,-,-,-
マイジャグラーV,1048,-195,895,92.7%,3,1,1/224
マイジャグラーV,1013,-195,"6,421",99%,23,17,1/161
Lパチスロ かぐや様は告らせたい,128,-195,"2,964",97.8%,-,-,-
マイジャグラーV,1005,-195,"5,367",98.8%,20,10,1/179
沖ドキ！BLACK,1306,-196,"5,202",98.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,94,-197,844,92.2%,-,-,-
マイジャグラーV,606,-197,"6,514",99%,22,22,1/148
SアイムジャグラーＥＸ,1066,-197,"1,519",95.7%,5,3,1/190
スマスロ 七つの魔剣が支配する,1327,-198,815,91.9%,-,-,-
スマスロモンキーターンV,726,-198,435,84.8%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,878,-198,"2,924",97.7%,-,-,-
ファンキージャグラー２ＫＴ,1159,-198,"3,734",98.2%,13,15,1/133
スマスロモンキーターンV,729,-198,172,61.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,832,-199,"2,178",97%,-,-,-
Lスマスロ北斗の拳,64,-199,265,75%,2,1,1/88
マイジャグラーV,1131,-290,"5,328",98.2%,17,15,1/167
L麻雀物語,31,-291,"1,213",92%,-,-,-
スマスロ スーパーブラックジャック,809,-292,641,84.8%,-,-,-
沖ドキ！BLACK,1318,-293,"1,886",94.8%,-,-,-
ジャグラーガールズSS,1144,-293,"1,313",92.6%,-,-,-
Lスマスロ北斗の拳,55,-293,"3,073",96.8%,23,7,1/102
Lパチスロからくりサーカス,149,-294,523,81.3%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1370,-294,"2,825",96.5%,-,-,-
Lスマスロ北斗の拳,61,-295,940,89.5%,8,3,1/85
SアイムジャグラーＥＸ,1093,-295,"2,845",96.5%,9,7,1/178
SアイムジャグラーＥＸ,1096,-295,"3,617",97.3%,11,14,1/145
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,1372,-295,"1,718",94.3%,-,-,-
ゴーゴージャグラー３,1111,-296,"4,597",97.9%,18,13,1/148
Lパチスロ かぐや様は告らせたい,142,-296,"5,806",98.3%,-,-,-
パチスロ　甲鉄城のカバネリ,1426,-296,884,88.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,84,-299,808,87.7%,-,-,-
L真・一騎当千,1340,-299,548,81.8%,-,-,-
ファンキージャグラー２ＫＴ,1154,-299,"1,137",91.2%,4,1,1/227
Lパチスロ革命機ヴァルヴレイヴ,75,-299,"1,950",94.9%,-,-,-
ファンキージャグラー２ＫＴ,747,-300,"3,683",97.3%,13,8,1/175
スマスロモンキーターンV,719,-300,"4,861",97.9%,-,-,-
スマスロ モンスターハンターライズ,683,-301,"2,235",95.5%,-,-,-
マイジャグラーV,613,-301,"5,726",98.2%,19,21,1/143
SアイムジャグラーＥＸ,1097,-304,"3,659",97.2%,14,6,1/183
マイジャグラーV,1021,-390,"7,450",98.3%,26,22,1/155
パチスロ　ディスクアップ２,1373,-390,"2,548",94.9%,9,2,1/232
ゴーゴージャグラー３,1105,-391,515,74.7%,1,0,1/515
マイジャグラーV,612,-392,"4,449",97.1%,15,10,1/178
スマスロ モンスターハンターライズ,669,-392,893,85.4%,-,-,-
スマスロモンキーターンV,722,-392,484,73%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1357,-392,"3,023",95.7%,9,5,1/216
Lパチスロ炎炎ノ消防隊,1356,-392,"5,598",97.7%,-,-,-
スマスロ スーパーブラックジャック,813,-394,626,79%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,14,-394,773,83%,-,-,-
ウルトラミラクルジャグラー,1060,-395,"4,582",97.1%,-,-,-
SアイムジャグラーＥＸ,1100,-395,"2,131",93.8%,7,3,1/213
キングハナハナ-30,1445,-396,"8,355",98.4%,-,-,-
ゴーゴージャグラー３,1109,-396,"3,012",95.6%,8,12,1/151
SアイムジャグラーＥＸ,1069,-396,"5,414",97.6%,17,17,1/159
Lパチスロ革命機ヴァルヴレイヴ,76,-397,371,64.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,80,-397,303,56.3%,-,-,-
Lスマスロとある魔術の禁書目録,654,-397,877,84.9%,-,-,-
マイジャグラーV,742,-398,"4,186",96.8%,15,8,1/182
マイジャグラーV,614,-398,"5,510",97.6%,20,14,1/162
マイジャグラーV,1130,-490,"1,353",87.9%,3,3,1/226
ゴーゴージャグラー３,1056,-490,777,79%,2,1,1/259
Lパチスロ かぐや様は告らせたい,118,-491,556,70.6%,-,-,-
スマスロ スーパーブラックジャック,805,-492,"2,166",92.4%,-,-,-
ゴーゴージャグラー３,1124,-493,"2,954",94.4%,11,4,1/197
Lスーパービンゴネオ,8,-493,375,56.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,81,-494,826,80.1%,-,-,-
スマスロモンキーターンV,731,-494,"1,398",88.2%,-,-,-
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,1371,-494,789,79.1%,-,-,-
Lパチスロ かぐや様は告らせたい,134,-494,452,63.6%,-,-,-
Lパチスロからくりサーカス,155,-494,895,81.6%,-,-,-
ファンキージャグラー２ＫＴ,1151,-494,639,74.2%,1,2,1/213
L真・一騎当千,1341,-495,379,56.5%,-,-,-
Lパチスロ かぐや様は告らせたい,138,-496,368,55.1%,-,-,-
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,1335,-496,515,67.9%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,688,-496,"2,759",94%,-,-,-
ゴーゴージャグラー３,1117,-497,"4,215",96.1%,11,16,1/156
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,1338,-497,889,81.4%,-,-,-
スマスロ スーパーブラックジャック,815,-497,"3,019",94.5%,-,-,-
マイジャグラーV,1052,-498,"4,783",96.5%,17,14,1/154
ゴーゴージャグラー３,1106,-498,"4,878",96.6%,19,12,1/157
Lパチスロからくりサーカス,116,-498,318,47.8%,-,-,-
スマスロ 七つの魔剣が支配する,1325,-498,744,77.7%,-,-,-
マイジャグラーV,734,-501,"2,970",94.4%,9,8,1/175
SアイムジャグラーＥＸ,1091,-501,"3,636",95.4%,14,5,1/191
マイジャグラーV,1009,-501,"6,691",97.5%,25,13,1/176
マイジャグラーV,1037,-502,"6,192",97.3%,18,22,1/155
バーサスリヴァイズ,1380,-504,"3,434",95.1%,-,-,-
チバリヨ2,1393,-590,403,51.2%,-,-,-
Lパチスロ炎炎ノ消防隊,1355,-590,"4,313",95.4%,-,-,-
Lパチスロ かぐや様は告らせたい,135,-590,"1,950",89.9%,-,-,-
スマスロ モンスターハンターライズ,675,-590,"4,384",95.5%,-,-,-
スマスロ モンスターハンターライズ,682,-591,568,65.3%,-,-,-
マイジャグラーV,1128,-591,"2,181",91%,6,4,1/218
ミスタージャグラー,1085,-591,"3,200",93.8%,-,-,-
スマスロモンキーターンV,715,-591,"1,421",86.1%,-,-,-
マイジャグラーV,1001,-593,"5,639",96.5%,17,19,1/157
