機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ モンスターハンターライズ,738,-30,"3,016",99.7%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,834,-70,"5,820",99.6%,-,-,-
スマスロモンキーターンV,661,-90,"8,227",99.6%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,615,-100,"5,084",99.3%,16,15,1/164
沖ドキ!ゴージャス 25Φ,599,-100,"4,693",99.3%,-,-,-
Lパチスロ ダンベル何キロ持てる？,773,-110,"1,521",97.6%,-,-,-
Lパチスロからくりサーカス,698,-110,77,-,-,-,-
Lパチスロからくりサーカス,702,-120,90,-,-,-,-
Lスマスロ北斗の拳,805,-140,"4,778",99%,40,9,1/98
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,819,-150,"3,285",98.5%,-,-,-
ウルトラミラクルジャグラー,565,-150,"4,835",99%,-,-,-
Lパチスロからくりサーカス,708,-160,105,49.2%,-,-,-
マイジャグラーV,520,-170,"1,259",95.5%,4,3,1/180
スマスロ バイオハザード5,769,-170,"6,669",99.2%,-,-,-
スマスロ スーパーブラックジャック,824,-180,"4,376",98.6%,-,-,-
スマスロ モンスターハンターライズ,761,-190,676,90.6%,-,-,-
マイジャグラーV,544,-200,"2,369",97.2%,9,5,1/169
マイジャグラーV,512,-200,"4,997",98.7%,18,13,1/161
ウルトラミラクルジャグラー,563,-200,"6,563",99%,-,-,-
マイジャグラーV,526,-200,"1,949",96.6%,7,4,1/177
スマート沖スロ スターハナハナ,614,-210,"1,330",94.7%,-,-,-
スマスロ モンスターハンターライズ,740,-210,777,91%,-,-,-
ジャグラーガールズSS,593,-220,975,92.5%,-,-,-
スマスロ ゴッドイーター リザレクション,716,-230,"7,122",98.9%,-,-,-
Lスマスロ北斗の拳,729,-260,"7,394",98.8%,57,18,1/99
新ハナビ,611,-260,"1,960",95.6%,-,-,-
ミスタージャグラー,584,-260,"6,392",98.6%,-,-,-
マイジャグラーV,527,-260,"2,954",97.1%,9,8,1/174
